ID Race,Race,ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
5,"Pacific Islander",2020,"2020",90577,67546,"Kittitas County, WA","05000US53037","kittitas-county-wa"
5,"Pacific Islander",2020,"2020",80055,7533.000000000001,"Pierce County, WA","05000US53053","pierce-county-wa"
5,"Pacific Islander",2020,"2020",80553,13420,"Snohomish County, WA","05000US53061","snohomish-county-wa"
5,"Pacific Islander",2020,"2020",45625,9373,"Spokane County, WA","05000US53063","spokane-county-wa"
5,"Pacific Islander",2020,"2020",48203,20519,"Thurston County, WA","05000US53067","thurston-county-wa"
5,"Pacific Islander",2020,"2020",41475,10466,"Whatcom County, WA","05000US53073","whatcom-county-wa"
5,"Pacific Islander",2020,"2020",67201,36195,"Yakima County, WA","05000US53077","yakima-county-wa"
6,"Other",2020,"2020",45871,7538.000000000001,"Adams County, WA","05000US53001","adams-county-wa"
6,"Other",2020,"2020",2499,,"Asotin County, WA","05000US53003","asotin-county-wa"
6,"Other",2020,"2020",57549,8472,"Benton County, WA","05000US53005","benton-county-wa"
6,"Other",2020,"2020",52803,5337,"Chelan County, WA","05000US53007","chelan-county-wa"
6,"Other",2020,"2020",53393,23331,"Clallam County, WA","05000US53009","clallam-county-wa"
6,"Other",2020,"2020",49611,4251,"Clark County, WA","05000US53011","clark-county-wa"
6,"Other",2020,"2020",90991,64679.00000000001,"Columbia County, WA","05000US53013","columbia-county-wa"
6,"Other",2020,"2020",47083,13473,"Cowlitz County, WA","05000US53015","cowlitz-county-wa"
6,"Other",2020,"2020",58365,8955,"Douglas County, WA","05000US53017","douglas-county-wa"
6,"Other",2020,"2020",56204,6071,"Franklin County, WA","05000US53021","franklin-county-wa"
6,"Other",2020,"2020",48305,4955,"Grant County, WA","05000US53025","grant-county-wa"
6,"Other",2020,"2020",49545,12178,"Grays Harbor County, WA","05000US53027","grays-harbor-county-wa"
6,"Other",2020,"2020",35570,4386,"Jefferson County, WA","05000US53031","jefferson-county-wa"
6,"Other",2020,"2020",62701,2836,"King County, WA","05000US53033","king-county-wa"
6,"Other",2020,"2020",55867,12275,"Kitsap County, WA","05000US53035","kitsap-county-wa"
6,"Other",2020,"2020",53175,10927,"Kittitas County, WA","05000US53037","kittitas-county-wa"
6,"Other",2020,"2020",63455,1028,"Klickitat County, WA","05000US53039","klickitat-county-wa"
6,"Other",2020,"2020",59000,28401,"Lewis County, WA","05000US53041","lewis-county-wa"
6,"Other",2020,"2020",36360,9371,"Mason County, WA","05000US53045","mason-county-wa"
6,"Other",2020,"2020",42917,11214,"Okanogan County, WA","05000US53047","okanogan-county-wa"
6,"Other",2020,"2020",51795,39665,"Pacific County, WA","05000US53049","pacific-county-wa"
6,"Other",2020,"2020",49931,31831,"Pend Oreille County, WA","05000US53051","pend-oreille-county-wa"
6,"Other",2020,"2020",57195,4798,"Pierce County, WA","05000US53053","pierce-county-wa"
6,"Other",2020,"2020",40809,11035,"San Juan County, WA","05000US53055","san-juan-county-wa"
6,"Other",2020,"2020",54784,6069,"Skagit County, WA","05000US53057","skagit-county-wa"
